Report_Name,Journal Access Denied,,,,,,,,,,,,,,
Report_ID,TR_J2,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,Johnson Matthey,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Limit_Exceeded; No_License,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,07-07-18,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Advances in Civil Engineering Materials,,,astm.org,10.1520/ACEM20150030,,,2165-3984,,2016,Total_Item_Requests,1,0,0,0,1
Advances in Civil Engineering Materials,,,astm.org,10.1520/ACEM20150030,,,2165-3984,,2016,Limit_Exceeded,1,0,0,0,1
Advances in Civil Engineering Materials,,,astm.org,10.1520/ACEM20150030,,,2165-3984,,2016,Total_Item_Requests,1,0,0,0,1
