Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,1,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,31-05-18,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018
